timestep,mx_0,mx_1,my_0,my_1,dist,status,tension,gradient
0,0.7311,0.7311,0.9890,0.7311,0.2580,CLOSED,0.0000,0.0000
1,0.7311,0.7311,0.9890,0.7311,0.2580,CLOSED,0.0000,0.0000
2,0.7222,0.7311,0.9877,0.7311,0.2655,CLOSED,0.0000,0.0076
3,0.7210,0.7311,0.9868,0.7311,0.2657,CLOSED,0.0000,0.0002
4,0.7194,0.7311,0.9857,0.7311,0.2663,CLOSED,0.0000,0.0006
5,0.7118,0.7311,0.9842,0.7311,0.2724,CLOSED,0.0000,0.0061
6,0.7081,0.7311,0.9829,0.7311,0.2748,CLOSED,0.0000,0.0023
7,0.6986,0.7311,0.9809,0.7311,0.2823,CLOSED,0.0000,0.0076
8,0.6904,0.7311,0.9790,0.7311,0.2885,CLOSED,0.0000,0.0062
9,0.6925,0.7311,0.9779,0.7311,0.2854,CLOSED,0.0000,-0.0031
10,0.6932,0.7311,0.9766,0.7311,0.2835,CLOSED,0.0000,-0.0019
11,0.6856,0.7311,0.9744,0.7311,0.2888,CLOSED,0.0000,0.0053
12,0.6808,0.7311,0.9723,0.7311,0.2916,CLOSED,0.0000,0.0028
13,0.6667,0.7311,0.9689,0.7311,0.3023,CLOSED,0.0000,0.0107
14,0.6766,0.7311,0.9686,0.7311,0.2920,CLOSED,0.0000,-0.0102
15,0.6841,0.7311,0.9680,0.7311,0.2839,CLOSED,0.0000,-0.0081
16,0.6768,0.7311,0.9653,0.7311,0.2884,CLOSED,0.0000,0.0045
17,0.6810,0.7311,0.9641,0.7311,0.2831,CLOSED,0.0000,-0.0053
18,0.6787,0.7311,0.9620,0.7311,0.2833,CLOSED,0.0000,0.0001
19,0.6765,0.7311,0.9597,0.7311,0.2832,CLOSED,0.0000,-0.0001
20,0.6721,0.7311,0.9570,0.7311,0.2849,CLOSED,0.0000,0.0017
21,0.6571,0.7311,0.9520,0.7311,0.2949,CLOSED,0.0000,0.0100
22,0.6624,0.7311,0.9509,0.7311,0.2885,CLOSED,0.0000,-0.0064
23,0.6544,0.7311,0.9470,0.7311,0.2926,CLOSED,0.0000,0.0041
24,0.6533,0.7311,0.9444,0.7311,0.2911,CLOSED,0.0000,-0.0015
25,0.6495,0.7311,0.9411,0.7311,0.2917,CLOSED,0.0000,0.0005
26,0.6570,0.7311,0.9406,0.7311,0.2836,CLOSED,0.0000,-0.0081
27,0.6582,0.7311,0.9385,0.7311,0.2803,CLOSED,0.0000,-0.0033
28,0.6553,0.7311,0.9353,0.7311,0.2800,CLOSED,0.0000,-0.0003
29,0.6557,0.7311,0.9329,0.7311,0.2772,CLOSED,0.0000,-0.0027
30,0.6601,0.7311,0.9316,0.7311,0.2715,CLOSED,0.0000,-0.0057
31,0.6637,0.7311,0.9302,0.7311,0.2664,CLOSED,0.0000,-0.0051
32,0.6589,0.7311,0.9262,0.7311,0.2673,CLOSED,0.0000,0.0008
33,0.6621,0.7311,0.9246,0.7311,0.2625,CLOSED,0.0000,-0.0048
34,0.6632,0.7311,0.9223,0.7311,0.2592,CLOSED,0.0000,-0.0033
35,0.6660,0.7311,0.9206,0.7311,0.2547,CLOSED,0.0000,-0.0045
36,0.6667,0.7311,0.9183,0.7311,0.2516,CLOSED,0.0000,-0.0031
37,0.6661,0.7311,0.9154,0.7311,0.2494,CLOSED,0.0000,-0.0022
38,0.6576,0.7311,0.9097,0.7311,0.2521,CLOSED,0.0000,0.0027
39,0.6527,0.7311,0.9051,0.7311,0.2524,CLOSED,0.0000,0.0003
40,0.6407,0.7311,0.8976,0.7311,0.2568,CLOSED,0.0000,0.0044
41,0.6348,0.7311,0.8921,0.7311,0.2573,CLOSED,0.0000,0.0005
42,0.6353,0.7311,0.8893,0.7311,0.2540,CLOSED,0.0000,-0.0033
43,0.6303,0.7311,0.8841,0.7311,0.2538,CLOSED,0.0000,-0.0002
44,0.6232,0.7311,0.8777,0.7311,0.2546,CLOSED,0.0000,0.0008
45,0.6174,0.7311,0.8718,0.7311,0.2544,CLOSED,0.0000,-0.0001
46,0.6170,0.7311,0.8684,0.7311,0.2514,CLOSED,0.0000,-0.0031
47,0.6163,0.7311,0.8648,0.7311,0.2485,CLOSED,0.0000,-0.0029
48,0.6170,0.7311,0.8619,0.7311,0.2449,CLOSED,0.0000,-0.0036
49,0.6153,0.7311,0.8578,0.7311,0.2424,CLOSED,0.0000,-0.0024
50,0.6183,0.7311,0.8561,0.7311,0.2378,CLOSED,0.0000,-0.0047
51,0.6175,0.7311,0.8524,0.7311,0.2349,CLOSED,0.0000,-0.0028
52,0.6199,0.7311,0.8505,0.7311,0.2305,CLOSED,0.0000,-0.0044
53,0.6212,0.7311,0.8479,0.7311,0.2268,CLOSED,0.0000,-0.0037
54,0.6205,0.7311,0.8444,0.7311,0.2239,CLOSED,0.0000,-0.0029
55,0.6203,0.7311,0.8411,0.7311,0.2208,CLOSED,0.0000,-0.0031
56,0.6173,0.7311,0.8362,0.7311,0.2189,META_REVIEW,0.0007,-0.0019
57,0.6387,0.7311,0.8886,0.7311,0.2498,CLOSED,0.0006,0.0310
58,0.6344,0.7311,0.8836,0.7311,0.2493,CLOSED,0.0006,-0.0006
59,0.6263,0.7311,0.8769,0.7311,0.2505,CLOSED,0.0005,0.0013
60,0.6253,0.7311,0.8732,0.7311,0.2480,CLOSED,0.0005,-0.0026
61,0.6260,0.7311,0.8704,0.7311,0.2444,CLOSED,0.0004,-0.0035
62,0.6223,0.7311,0.8654,0.7311,0.2431,CLOSED,0.0004,-0.0013
63,0.6150,0.7311,0.8585,0.7311,0.2435,CLOSED,0.0004,0.0004
64,0.6188,0.7311,0.8572,0.7311,0.2384,CLOSED,0.0003,-0.0051
65,0.6178,0.7311,0.8534,0.7311,0.2356,CLOSED,0.0003,-0.0028
66,0.6166,0.7311,0.8496,0.7311,0.2329,CLOSED,0.0003,-0.0027
67,0.6152,0.7311,0.8456,0.7311,0.2303,CLOSED,0.0003,-0.0026
68,0.6157,0.7311,0.8426,0.7311,0.2269,CLOSED,0.0002,-0.0035
69,0.6148,0.7311,0.8388,0.7311,0.2240,CLOSED,0.0002,-0.0028
70,0.6150,0.7311,0.8357,0.7311,0.2207,CLOSED,0.0002,-0.0033
71,0.6128,0.7311,0.8312,0.7311,0.2184,META_REVIEW,0.0011,-0.0023
72,0.6259,0.7311,0.8813,0.7311,0.2554,CLOSED,0.0010,0.0370
73,0.6211,0.7311,0.8759,0.7311,0.2548,CLOSED,0.0010,-0.0006
74,0.6169,0.7311,0.8707,0.7311,0.2538,CLOSED,0.0009,-0.0010
75,0.6147,0.7311,0.8664,0.7311,0.2517,CLOSED,0.0008,-0.0021
76,0.6017,0.7311,0.8565,0.7311,0.2549,CLOSED,0.0007,0.0031
77,0.5995,0.7311,0.8520,0.7311,0.2525,CLOSED,0.0007,-0.0024
78,0.5994,0.7311,0.8485,0.7311,0.2491,CLOSED,0.0006,-0.0034
79,0.5915,0.7311,0.8407,0.7311,0.2492,CLOSED,0.0006,0.0001
80,0.5920,0.7311,0.8375,0.7311,0.2455,CLOSED,0.0005,-0.0037
81,0.5942,0.7311,0.8353,0.7311,0.2411,CLOSED,0.0005,-0.0044
82,0.5955,0.7311,0.8326,0.7311,0.2371,CLOSED,0.0005,-0.0040
