seed,boost,degrade,regime,n_meta,rcls_t,rupt_t,crit_t,max_tens,max_rp,min_sep,min_elast,fatigue
1,0.00,0.010,0,1,-1,-1,-1,0.7158,8.8163,0.1219,-0.00731,2.0110
2,0.00,0.010,0,1,-1,-1,-1,0.7259,9.0475,0.1201,-0.00950,1.9395
3,0.00,0.010,0,1,-1,-1,-1,0.7543,8.9298,0.1172,-0.01001,2.3037
4,0.00,0.010,0,1,-1,-1,-1,0.7369,8.9987,0.1188,-0.00871,2.0614
5,0.00,0.010,0,1,-1,-1,-1,0.5939,7.9848,0.1377,-0.00770,1.3884
6,0.00,0.010,0,1,-1,-1,193,0.8707,11.0902,0.1005,-0.01014,2.7954
7,0.00,0.010,3,2,10,-1,-1,0.7664,9.1506,0.1151,-0.00831,2.2878
8,0.00,0.010,0,1,-1,-1,-1,0.5522,7.4403,0.1431,-0.00824,1.1584
9,0.00,0.010,0,1,-1,-1,-1,0.5296,7.0656,0.1470,-0.00814,1.1685
10,0.00,0.010,0,1,-1,-1,-1,0.7822,9.4715,0.1126,-0.00817,2.2851
11,0.00,0.010,0,1,-1,-1,-1,0.4357,6.6478,0.1596,-0.00726,0.8551
12,0.00,0.010,0,1,-1,-1,-1,0.7342,9.5662,0.1188,-0.00874,1.9996
13,0.00,0.010,0,1,-1,-1,-1,0.6326,8.1023,0.1325,-0.00879,1.5303
14,0.00,0.010,0,1,-1,-1,195,0.8697,10.4633,0.1021,-0.01397,3.8753
15,0.00,0.010,0,1,-1,-1,-1,0.5746,7.6059,0.1406,-0.00839,1.3033
16,0.00,0.010,0,1,-1,-1,186,0.9270,11.8005,0.0932,-0.00922,3.2457
17,0.00,0.010,0,1,-1,-1,-1,0.8053,9.4780,0.1102,-0.00834,2.6669
18,0.00,0.010,0,1,-1,-1,-1,0.5942,7.6014,0.1382,-0.00868,1.4112
19,0.00,0.010,0,1,-1,-1,-1,0.5018,7.0920,0.1502,-0.00697,1.0059
20,0.00,0.010,0,1,-1,-1,-1,0.6134,7.9461,0.1354,-0.00791,1.5021
21,0.00,0.010,0,1,-1,-1,-1,0.6116,7.7948,0.1359,-0.00650,1.6109
22,0.00,0.010,0,1,-1,-1,-1,0.7030,8.8848,0.1232,-0.00837,1.8613
23,0.00,0.010,0,1,-1,-1,-1,0.7609,9.4328,0.1153,-0.00924,2.1948
24,0.00,0.010,0,1,-1,-1,-1,0.5555,7.4110,0.1428,-0.00829,1.1771
25,0.00,0.010,0,1,-1,-1,-1,0.7101,8.5484,0.1229,-0.00775,1.9904
26,0.00,0.010,0,1,-1,-1,189,0.9002,11.1871,0.0972,-0.00959,3.1901
27,0.00,0.010,0,1,-1,-1,-1,0.5951,7.6076,0.1381,-0.00711,1.4189
28,0.00,0.010,3,2,5,-1,-1,0.7586,8.9842,0.1169,-0.00870,2.3960
29,0.00,0.010,0,1,-1,-1,-1,0.7023,8.7166,0.1233,-0.00858,1.8251
30,0.00,0.010,0,1,-1,-1,195,0.8456,10.1552,0.1044,-0.00903,2.7374
31,0.00,0.010,0,1,-1,-1,-1,0.6672,8.2266,0.1290,-0.00729,1.8376
32,0.00,0.010,0,1,-1,-1,-1,0.5863,7.6424,0.1389,-0.00754,1.3431
33,0.00,0.010,0,1,-1,-1,-1,0.4689,6.8254,0.1547,-0.00756,0.9146
34,0.00,0.010,0,1,-1,-1,-1,0.4844,7.1060,0.1521,-0.00722,0.9293
35,0.00,0.010,0,1,-1,-1,-1,0.6248,8.3691,0.1331,-0.00811,1.4548
36,0.00,0.010,0,1,-1,-1,-1,0.3863,6.4654,0.1656,-0.00741,0.6625
37,0.00,0.010,0,1,-1,-1,-1,0.7184,8.8687,0.1209,-0.00948,1.8664
38,0.00,0.010,0,1,-1,-1,-1,0.5368,7.3807,0.1451,-0.00894,1.1053
39,0.00,0.010,0,1,-1,-1,-1,0.6726,8.4118,0.1278,-0.00854,1.8813
40,0.00,0.010,3,2,124,-1,-1,0.6668,8.4019,0.1284,-0.00901,1.7127
41,0.00,0.010,3,2,11,-1,195,0.8456,10.5219,0.1042,-0.00813,2.7894
42,0.00,0.010,0,1,-1,-1,200,0.8346,10.0667,0.1065,-0.00750,2.9733
43,0.00,0.010,0,1,-1,-1,-1,0.4294,6.5681,0.1605,-0.00656,0.8167
44,0.00,0.010,0,1,-1,-1,-1,0.5179,7.1938,0.1481,-0.00796,1.0906
45,0.00,0.010,0,1,-1,-1,-1,0.7093,8.7128,0.1229,-0.00918,1.9916
46,0.00,0.010,0,1,-1,-1,-1,0.7710,9.5590,0.1139,-0.00953,2.1991
47,0.00,0.010,0,1,-1,-1,-1,0.6728,8.3354,0.1278,-0.00963,1.7990
48,0.00,0.010,0,1,-1,-1,-1,0.5204,6.9922,0.1485,-0.00656,1.1701
49,0.00,0.010,0,1,-1,-1,-1,0.7401,9.1069,0.1186,-0.00740,2.1809
50,0.00,0.010,0,1,-1,-1,-1,0.7907,9.5233,0.1114,-0.01051,2.2804
51,0.00,0.010,0,1,-1,-1,-1,0.6115,7.7966,0.1357,-0.00800,1.4683
52,0.00,0.010,0,1,-1,-1,194,0.8721,10.7716,0.1013,-0.00698,3.2734
53,0.00,0.010,3,2,28,-1,-1,0.6701,8.0761,0.1290,-0.00598,2.2259
54,0.00,0.010,0,1,-1,-1,-1,0.6744,8.4860,0.1270,-0.00775,1.7237
55,0.00,0.010,3,2,109,-1,-1,0.6998,8.6024,0.1242,-0.00774,1.9761
56,0.00,0.010,0,1,-1,-1,-1,0.7374,9.0670,0.1187,-0.00869,2.0734
57,0.00,0.010,3,2,123,-1,-1,0.5612,7.3252,0.1424,-0.00731,1.2411
58,0.00,0.010,0,1,-1,-1,-1,0.6564,8.5301,0.1291,-0.00820,1.6386
59,0.00,0.010,0,1,-1,-1,-1,0.5553,7.5285,0.1428,-0.00852,1.1810
60,0.00,0.010,0,1,-1,-1,-1,0.6102,7.9925,0.1352,-0.00869,1.3902
61,0.00,0.010,0,1,-1,-1,-1,0.7309,8.9950,0.1196,-0.00903,2.0062
62,0.00,0.010,0,1,-1,-1,-1,0.7141,9.1548,0.1212,-0.00991,1.8326
63,0.00,0.010,0,1,-1,-1,-1,0.6009,8.0258,0.1367,-0.00811,1.4081
64,0.00,0.010,0,1,-1,-1,-1,0.4959,6.8009,0.1518,-0.00624,1.0879
65,0.00,0.010,0,1,-1,-1,-1,0.4081,6.4579,0.1630,-0.00678,0.7324
66,0.00,0.010,1,1,-1,198,180,0.9421,12.3208,0.0913,-0.00904,3.4096
67,0.00,0.010,0,1,-1,-1,-1,0.6473,8.0588,0.1317,-0.00988,1.7562
68,0.00,0.010,0,1,-1,-1,-1,0.4706,6.8340,0.1545,-0.00712,0.9355
69,0.00,0.010,0,1,-1,-1,-1,0.6856,8.4660,0.1262,-0.00975,1.8473
70,0.00,0.010,0,1,-1,-1,-1,0.6171,7.8496,0.1352,-0.00700,1.5490
71,0.00,0.010,0,1,-1,-1,-1,0.4771,6.9256,0.1531,-0.00834,0.9036
72,0.00,0.010,0,1,-1,-1,-1,0.6373,8.1129,0.1322,-0.00775,1.6233
73,0.00,0.010,3,2,7,-1,-1,0.6303,7.8485,0.1334,-0.00736,1.6035
74,0.00,0.010,3,2,8,-1,-1,0.5728,7.6015,0.1409,-0.00615,1.3476
75,0.00,0.010,3,2,100,-1,-1,0.7147,8.8822,0.1219,-0.00713,2.0312
76,0.00,0.010,0,1,-1,-1,198,0.8172,10.3022,0.1082,-0.00890,2.5996
77,0.00,0.010,0,1,-1,-1,-1,0.5651,7.6443,0.1412,-0.00925,1.2010
78,0.00,0.010,0,1,-1,-1,199,0.8100,10.2942,0.1091,-0.00907,2.5669
79,0.00,0.010,0,1,-1,-1,-1,0.6131,7.8371,0.1353,-0.00880,1.4326
80,0.00,0.010,0,1,-1,-1,-1,0.6940,8.4967,0.1251,-0.00910,1.9172
81,0.00,0.010,0,1,-1,-1,-1,0.5882,7.7256,0.1387,-0.00902,1.3477
82,0.00,0.010,3,2,4,-1,-1,0.6930,8.6089,0.1246,-0.00721,1.8549
83,0.00,0.010,0,1,-1,-1,-1,0.6792,8.5623,0.1263,-0.00985,1.7217
84,0.00,0.010,0,1,-1,-1,-1,0.5911,7.6662,0.1382,-0.00821,1.3642
85,0.00,0.010,3,2,111,-1,195,0.8542,10.6475,0.1031,-0.00984,2.7392
86,0.00,0.010,3,4,11,-1,-1,0.7352,8.9078,0.1198,-0.00582,2.4441
87,0.00,0.010,0,1,-1,-1,-1,0.8027,9.4868,0.1105,-0.01011,2.4871
88,0.00,0.010,0,1,-1,-1,-1,0.5957,7.6393,0.1379,-0.00895,1.3822
