timestep,mx_0,mx_1,my_0,my_1,dist,status,tension,gradient
0,0.7744,0.8635,0.9913,0.9028,0.2205,CLOSED,0.0000,0.0000
1,0.7744,0.8635,0.9913,0.9028,0.2205,CLOSED,0.0000,0.0000
2,0.7561,0.8635,0.9885,0.9028,0.2357,CLOSED,0.0000,0.0153
3,0.7502,0.8635,0.9863,0.9028,0.2394,CLOSED,0.0000,0.0037
4,0.7521,0.8635,0.9839,0.9028,0.2351,CLOSED,0.0000,-0.0044
5,0.7414,0.8635,0.9802,0.9028,0.2420,CLOSED,0.0000,0.0070
6,0.7155,0.8635,0.9742,0.9028,0.2617,CLOSED,0.0000,0.0196
7,0.7097,0.8635,0.9700,0.9028,0.2632,CLOSED,0.0000,0.0016
8,0.7113,0.8635,0.9658,0.9028,0.2575,CLOSED,0.0000,-0.0057
9,0.7095,0.8635,0.9606,0.9028,0.2542,CLOSED,0.0000,-0.0034
10,0.7136,0.8635,0.9567,0.9028,0.2463,CLOSED,0.0000,-0.0079
11,0.7045,0.8635,0.9488,0.9028,0.2475,CLOSED,0.0000,0.0012
12,0.7087,0.8635,0.9456,0.9028,0.2401,CLOSED,0.0000,-0.0073
13,0.6874,0.8635,0.9342,0.9028,0.2499,CLOSED,0.0000,0.0098
14,0.6854,0.8635,0.9281,0.9028,0.2459,CLOSED,0.0000,-0.0041
15,0.6814,0.8635,0.9202,0.9028,0.2420,CLOSED,0.0000,-0.0039
16,0.6725,0.8635,0.9110,0.9028,0.2418,CLOSED,0.0000,-0.0002
17,0.6590,0.8635,0.8987,0.9028,0.2430,CLOSED,0.0000,0.0012
18,0.6566,0.8635,0.8880,0.9028,0.2347,CLOSED,0.0000,-0.0083
19,0.6563,0.8635,0.8830,0.9028,0.2300,CLOSED,0.0000,-0.0047
20,0.6663,0.8635,0.8775,0.9028,0.2148,META_REVIEW,0.0031,-0.0152
21,0.6782,0.8635,0.8905,0.9028,0.2159,META_REVIEW,0.0053,0.0011
22,0.6855,0.8635,0.8865,0.9028,0.2048,META_REVIEW,0.0140,-0.0111
23,0.6802,0.8635,0.8772,0.9028,0.2009,META_REVIEW,0.0243,-0.0039
24,0.6811,0.8635,0.8727,0.9028,0.1955,META_REVIEW,0.0370,-0.0054
25,0.6755,0.8635,0.8637,0.9028,0.1923,META_REVIEW,0.0507,-0.0032
26,0.6610,0.8635,0.8522,0.9028,0.1952,META_REVIEW,0.0615,0.0028
27,0.6632,0.8635,0.8500,0.9028,0.1909,META_REVIEW,0.0741,-0.0043
28,0.6462,0.8635,0.8339,0.9028,0.1918,META_REVIEW,0.0851,0.0009
29,0.6229,0.8635,0.8123,0.9028,0.1934,META_REVIEW,0.0942,0.0016
30,0.6226,0.8635,0.8081,0.9028,0.1896,META_REVIEW,0.1049,-0.0038
31,0.6320,0.8635,0.8097,0.9028,0.1820,META_REVIEW,0.1193,-0.0076
32,0.6349,0.8635,0.8029,0.9028,0.1725,META_REVIEW,0.1383,-0.0096
33,0.6342,0.8635,0.7918,0.9028,0.1624,META_REVIEW,0.1617,-0.0100
34,0.6101,0.8635,0.7717,0.9028,0.1663,META_REVIEW,0.1810,0.0038
35,0.6022,0.8635,0.7526,0.9028,0.1554,META_REVIEW,0.2053,-0.0109
36,0.5993,0.8635,0.7448,0.9028,0.1507,META_REVIEW,0.2305,-0.0047
37,0.5979,0.8635,0.7327,0.9028,0.1404,META_REVIEW,0.2598,-0.0103
38,0.5966,0.8635,0.7247,0.9028,0.1339,META_REVIEW,0.2906,-0.0065
39,0.5836,0.8635,0.7116,0.9028,0.1339,META_REVIEW,0.3190,-0.0000
40,0.5914,0.8635,0.7207,0.9028,0.1351,META_REVIEW,0.3444,0.0012
41,0.5922,0.8635,0.7185,0.9028,0.1323,META_REVIEW,0.3695,-0.0029
42,0.6016,0.8635,0.7173,0.9028,0.1222,META_REVIEW,0.3987,-0.0101
43,0.6172,0.8635,0.7250,0.9028,0.1148,META_REVIEW,0.4299,-0.0074
44,0.6311,0.8635,0.7294,0.9028,0.1059,META_REVIEW,0.4640,-0.0089
45,0.6159,0.8635,0.7125,0.9028,0.1043,META_REVIEW,0.4963,-0.0016
46,0.6072,0.8635,0.7054,0.9028,0.1058,META_REVIEW,0.5251,0.0015
47,0.6228,0.8635,0.7211,0.9028,0.1058,META_REVIEW,0.5516,0.0000
48,0.6345,0.8635,0.7260,0.9028,0.0996,META_REVIEW,0.5797,-0.0062
49,0.6418,0.8635,0.7244,0.9028,0.0915,META_REVIEW,0.6104,-0.0081
50,0.6404,0.8635,0.7154,0.9028,0.0847,META_REVIEW,0.6428,-0.0068
51,0.6305,0.8635,0.7109,0.9028,0.0895,META_REVIEW,0.6697,0.0048
52,0.6380,0.8635,0.7094,0.9028,0.0816,META_REVIEW,0.6992,-0.0079
53,0.6363,0.8635,0.7029,0.9028,0.0773,HARD_RUPTURE,0.7289,-0.0043
